stationname,parameter,date,hour,conc
Congonhas,CO,2020-04-11,19,0.5
Congonhas,CO,2020-04-11,20,0.4
Congonhas,CO,2020-04-11,21,0.4
Congonhas,CO,2020-04-11,22,0.3
Congonhas,CO,2020-04-11,23,0.2
Congonhas,CO,2020-04-11,24,0.3
Congonhas,CO,2020-04-12,1,0.3
Congonhas,CO,2020-04-12,2,0.1
Congonhas,CO,2020-04-12,3,0.1
Congonhas,CO,2020-04-12,4,0.1
Congonhas,CO,2020-04-12,5,0.1
Congonhas,CO,2020-04-12,6,0.3
Congonhas,CO,2020-04-12,7,0.2
Congonhas,CO,2020-04-12,8,0.2
Congonhas,CO,2020-04-12,9,0.2
Congonhas,CO,2020-04-12,10,0.1
Congonhas,CO,2020-04-12,11,0.2
Congonhas,CO,2020-04-12,12,0.3
Congonhas,CO,2020-04-12,13,0.3
Congonhas,CO,2020-04-12,14,0.3
Congonhas,CO,2020-04-12,15,0.3
Congonhas,CO,2020-04-12,16,0.3
Congonhas,CO,2020-04-12,17,0.3
Congonhas,CO,2020-04-12,18,0.3
Congonhas,CO,2020-04-12,19,0.4
Congonhas,CO,2020-04-12,20,0.4
Congonhas,CO,2020-04-12,21,0.4
Congonhas,CO,2020-04-12,22,0.3
Congonhas,CO,2020-04-12,23,0.3
Congonhas,CO,2020-04-12,24,0.3
Congonhas,CO,2020-04-13,1,0.2
Congonhas,CO,2020-04-13,2,0.1
Congonhas,CO,2020-04-13,3,0.1
Congonhas,CO,2020-04-13,4,0.1
Congonhas,CO,2020-04-13,5,0.2
Congonhas,CO,2020-04-13,6,0.4
Congonhas,CO,2020-04-13,7,0.4
Congonhas,CO,2020-04-13,8,0.4
Congonhas,CO,2020-04-13,9,0.3
Congonhas,CO,2020-04-13,10,0.4
Congonhas,CO,2020-04-13,11,0.4
Congonhas,CO,2020-04-13,12,0.4
Congonhas,CO,2020-04-13,13,0.4
Congonhas,CO,2020-04-13,14,0.5
Congonhas,CO,2020-04-13,15,0.6
Congonhas,CO,2020-04-13,16,0.6
Congonhas,CO,2020-04-13,17,0.6
Congonhas,CO,2020-04-13,18,0.7
Congonhas,CO,2020-04-13,19,0.6
Congonhas,CO,2020-04-13,20,0.5
Congonhas,CO,2020-04-13,21,0.4
Congonhas,CO,2020-04-13,22,0.3
Congonhas,CO,2020-04-13,23,0.3
Congonhas,CO,2020-04-13,24,0.2
Congonhas,CO,2020-04-14,1,0.3
Congonhas,CO,2020-04-14,2,0.2
Congonhas,CO,2020-04-14,3,0.2
Congonhas,CO,2020-04-14,4,0.2
Congonhas,CO,2020-04-14,5,0.2
Congonhas,CO,2020-04-14,6,0.3
Congonhas,CO,2020-04-14,7,0.3
Congonhas,CO,2020-04-14,8,0.4
Congonhas,CO,2020-04-14,9,0.7
Congonhas,CO,2020-04-14,10,0.7
Congonhas,CO,2020-04-14,11,0.7
Congonhas,CO,2020-04-14,12,0.6
Congonhas,CO,2020-04-14,13,0.5
Congonhas,CO,2020-04-14,14,0.6
Congonhas,CO,2020-04-14,15,0.6
Congonhas,CO,2020-04-14,16,0.7
Congonhas,CO,2020-04-14,17,0.6
Congonhas,CO,2020-04-14,18,0.8
Congonhas,CO,2020-04-14,19,0.9
Congonhas,CO,2020-04-14,20,0.7
Congonhas,CO,2020-04-14,21,0.6
Congonhas,CO,2020-04-14,22,0.6
Congonhas,CO,2020-04-14,23,0.7
Congonhas,CO,2020-04-14,24,0.5
Congonhas,CO,2020-04-15,1,0.3
Congonhas,CO,2020-04-15,2,0.3
Congonhas,CO,2020-04-15,3,0.3
Congonhas,CO,2020-04-15,4,0.4
Congonhas,CO,2020-04-15,5,0.3
Congonhas,CO,2020-04-15,6,0.5
Congonhas,CO,2020-04-15,7,0.5
Congonhas,CO,2020-04-15,8,0.6
Congonhas,CO,2020-04-15,9,0.6
Congonhas,CO,2020-04-15,10,0.7
Congonhas,CO,2020-04-15,11,0.4
Congonhas,CO,2020-04-15,12,0.6
Congonhas,CO,2020-04-15,13,0.6
Congonhas,CO,2020-04-15,14,0.5
Congonhas,CO,2020-04-15,15,0.5
Congonhas,CO,2020-04-15,16,0.6
Congonhas,CO,2020-04-15,17,0.6
Congonhas,CO,2020-04-15,18,0.7
Congonhas,CO,2020-04-15,19,0.8
Congonhas,CO,2020-04-15,20,0.7
Congonhas,CO,2020-04-15,21,0.7
Congonhas,CO,2020-04-15,22,0.9
Congonhas,CO,2020-04-15,23,0.6
Congonhas,CO,2020-04-15,24,0.8
Congonhas,CO,2020-04-16,1,0.8
Congonhas,CO,2020-04-16,2,0.6
Congonhas,CO,2020-04-16,3,0.8
Congonhas,CO,2020-04-16,4,0.9
Congonhas,CO,2020-04-16,5,0.7
Congonhas,CO,2020-04-16,6,0.9
Congonhas,CO,2020-04-16,7,0.9
Congonhas,CO,2020-04-16,8,1
Congonhas,CO,2020-04-16,9,0.9
Congonhas,CO,2020-04-16,10,0.5
Congonhas,CO,2020-04-16,11,0.5
Congonhas,CO,2020-04-16,12,0.7
Congonhas,CO,2020-04-16,13,0.7
Congonhas,CO,2020-04-16,14,0.5
Congonhas,CO,2020-04-16,15,0.4
Congonhas,CO,2020-04-16,16,0.7
Congonhas,CO,2020-04-16,17,0.6
Congonhas,CO,2020-04-16,18,0.7
Congonhas,CO,2020-04-16,19,0.8
